business_id,name,merchant_status,priority_group,cleanliness_ambiance,food_product_quality,order_accuracy_wait_time,other_none,pricing_value,service_speed,staff_behavior
TcJ1bB2omO0CIoEC4xtSxg,Tampa Pizza Company,Growing,Expand,0,8,0,0,0,2,2
ktM6aYuzqWd-kA8SIWswiQ,Winnie's Manayunk,Declining,Growth Opportunity,0,7,1,0,3,3,4
nF5QByCz21MY0KLtSoB5KA,Penrose Diner,Growing,Expand,1,6,1,0,2,3,7
6_Gsn1ZxSosWb6mZusap0Q,Sweet Soul,Declining,Growth Opportunity,3,8,0,0,1,0,6
sCPx4Sy4I1wMeZwsTzCFRg,Chipotle Mexican Grill,Stable,Monitor / Intervene,2,3,1,0,2,0,3
4hH1lt7mHPbl4r2O7LH6nA,Jordan Johnson's Gourmet Seafood,Growing,Expand,0,4,0,1,0,0,2
A55glg6ynzqjNAbRyTI3ig,Nifty Fifty's,Growing,Expand,1,7,3,0,3,3,1
WN8wJ8PiBcfSPVWtZZhZfA,Daiva's Grille,Growing,Expand,1,2,0,0,1,0,2
jHk1OJi16n3BlO3LxkH8cw,Rybrew,Declining,Growth Opportunity,0,10,0,0,1,0,3
HuawlT4tXzCXL8ftyvCZ0Q,Topgolf,Stable,Expand,8,4,1,0,1,2,4
siUk0bqIjI80KBFptR1Mcw,Heights Seafood,Declining,Growth Opportunity,1,9,0,0,1,0,6
g-mnsod42xN2y_LdYpoORw,The Freshworks - Mayfair Store,Growing,Monitor / Intervene,0,4,1,0,0,0,1
gGC3SvEvxsRkRBIEU0Rfrw,Jim's Steaks South Street Steaks and Hoagies,Stable,Expand,0,9,1,0,1,4,1
W5qWPa1LPo9stvCGeVSRAg,Pho Don,Declining,Growth Opportunity,0,9,0,0,3,0,1
jStt26nV-CBWRGxjqCzxUw,Einstein Bros. Bagels,Stable,Monitor / Intervene,1,0,2,0,0,0,1
mcb8blqo4lWVl91Mrp80uQ,Hungry Howie's Pizza & Subs,Growing,Expand,0,1,1,0,0,0,2
iZNR8-rqsBL2afDk4Zxe8A,Koch's Deli,Growing,Monitor / Intervene,0,3,1,2,0,1,3
UBj0aJ6FfMR4tdvRbQ3KSA,McDonald's,Stable,Monitor / Intervene,0,3,4,0,0,2,5
O4wZuA6Im9gQxxddCZ3kkQ,New York Gyro Truck,Declining,Growth Opportunity,0,2,0,0,1,1,1
JiEcu8LvmlsPh_Q6Exzp9A,Riverside Seafood Market,Declining,Growth Opportunity,2,7,1,0,2,0,2
YuhQIv_c08zqfExfSiWB6g,Tampa Tap Room,Growing,Monitor / Intervene,2,6,0,1,0,1,3
ctHjyadbDQAtUFfkcAFEHw,Zahav,Growing,Expand,1,9,0,0,0,0,8
GAuweBrcC_wK3a0UhZjwfA,Loco Pez,Stable,Expand,0,9,0,0,1,2,4
7VpTJyMcAnEA-Y6vj0XV4w,La Pita,Stable,Expand,0,7,0,0,1,0,1
nWhAxQw3bAsvXg3Oe91okw,Wawa,Growing,Monitor / Intervene,1,1,1,1,0,0,2
EDSqeUjhDwB8VMnIng-Q-A,Pizza Hut,Stable,Monitor / Intervene,0,0,1,0,0,1,2
v72qGvd53IxhM2m8aatOpg,Kanella Grill,Growing,Expand,0,7,1,0,3,1,4
qCpdeQYPf9i1EZhTnQgjtg,The Foodery at Rittenhouse,Declining,Growth Opportunity,0,9,1,0,1,0,1
i7H6gGM5jXMMrhr8VRZXDg,The Black Squirrel Pub and Haunt,Growing,Expand,5,8,0,0,1,0,3
yG5tkMER9Ftkv4RDwMaQuA,Chengdu Famous Food,Growing,Expand,0,10,0,0,1,1,4
3bMVhRoYXU4UND8G0xLflw,Man vs Fries,Declining,Growth Opportunity,0,6,0,0,1,2,2
x5NLYIRLdhFBaNLLvl8Afg,Bar Louie - Tampa,Declining,Growth Opportunity,1,7,1,0,2,0,3
hyXrO6RoAi5GnTl8s72Pkw,Burger King,Declining,Reassess,0,1,1,0,0,4,4
ra6Ejpr6Y5nJL1Um6pzTdg,Mustard Greens Restaurant,Stable,Expand,1,4,0,0,0,0,0
t3PkHzVTvPA8qRxKe9TIkQ,Booker's Restaurant and Bar,Growing,Expand,2,8,3,0,0,0,5
yj0SWZvJ0tGwAywoVxPT5A,Dig,Growing,Expand,0,10,0,0,1,0,1
wXKiStXyJo0zI4uCwpNFMg,Tony's Market,Growing,Expand,0,2,0,1,0,0,1
Cch7lpybfh4V0_1j8Nr3yQ,WeVegan Cafe,Growing,Expand,0,10,0,1,0,0,5
vwAhm3pRjCEz_jNXr9vMaA,Matt & Marie's,Growing,Expand,0,4,1,0,0,0,2
_UOg5_pk9IhKee91eWrT4A,Sweet Lucy's Smokehouse,Declining,Growth Opportunity,1,10,1,0,1,0,3
bN_9QgxdOIk4oK-6fBDJtQ,Honey's Sit N Eat,Declining,Growth Opportunity,1,3,0,0,1,0,3
FvBUare-QfqoTyHIvbWkvA,Bishos,Growing,Expand,1,9,0,0,1,1,3
HNMN7NhEvA64Z0FDEA2Twg,Liang's Bistro Asian Cuisine,Growing,Expand,0,10,0,0,4,1,3
j4KA-BujEH7xmG6bD5E-gQ,Sacred Pepper,Declining,Growth Opportunity,3,9,0,0,1,0,6
wGnBaLvgH3hrq6C3AnO5Mg,Shish-Kabob Palace,Stable,Monitor / Intervene,0,2,0,0,2,0,0
_05DcCQmCP5aGnfCnI4r9Q,Capital One Café,Growing,Expand,4,2,0,0,3,0,3
or_WcjWELDsssk2JruvJcg,Café Lutecia,Declining,Growth Opportunity,3,2,0,0,0,1,0
9YyeoqIBSEL_uikPBTZZUQ,Hadramout,Stable,Expand,0,7,0,0,2,0,1
3eAGbHu2VFz8dVNC_dO5ow,Lorenzo's Cafe Espresso Ristorante Italiano,Stable,Expand,0,5,0,0,1,0,4
eoj3iAmpgbRIi56yxcTQxA,Hook & Reel Cajun Seafood & Bar,Growing,Monitor / Intervene,2,9,1,0,1,0,5
-n_beuzQuajaezPD2PyQvA,China Star,Stable,Monitor / Intervene,0,1,0,0,0,0,1
JrG4NINLspXPNhSXg7Q07Q,Front Street Cafe,Growing,Expand,2,5,0,0,2,2,6
7QVS6kcmc2vfp3TDCGX-Cw,Colonial Pizza,Stable,Expand,0,2,0,0,0,1,0
4EXm70lqkCxZ-WtgNon8sw,Gabriella's Vietnam,Stable,Expand,1,7,1,0,4,1,4
sg4zySgp0Al1WNk-JhTbHQ,McDonald's,Stable,Monitor / Intervene,0,0,1,0,0,0,1
7LskDbqERsCsiPNKjmNnrA,Mr Wings,Growing,Expand,0,4,0,0,2,0,0
sL6fC0P4C-gyL4E5gacUeQ,Lazaro's Pizzeria & Grill,Growing,Expand,0,8,3,0,2,0,1
Fh7pRpok9KtmrXuY78xeug,Hao Wah Chinese Restaurant,Growing,Expand,0,9,2,0,3,0,2
SBDsWNjuMFTpUDgebenNDw,Outback Steakhouse,Declining,Reassess,0,4,3,0,1,2,6
03jQGGJ2ch0uHTtW-UUUqg,Famous 4th Street Delicatessen,Declining,Growth Opportunity,0,7,1,0,2,0,3
Qm8pSLYuVS7eIyOx5YsWBw,Glory Beer Bar & Kitchen,Growing,Expand,0,9,0,0,0,1,9
u-xGrOvBv1bxtpAHk-SZ5w,Vegan Commissary,Stable,Expand,1,6,0,0,2,0,2
j6dvIfAzbHccoySvaqjT4w,Burger 21 - New Tampa,Stable,Monitor / Intervene,0,7,6,0,2,2,3
QV3Xa_GBeMdm7rOS4EaxVQ,Ming Gardens Restaurant,Growing,Expand,0,6,1,0,3,1,1
vXQLdqB-stL2JTP5AsPVaA,Samurai Blue Sushi & Sake Bar,Declining,Growth Opportunity,2,6,3,0,0,2,4
jWljp4qLuqr968VFA4EWrQ,Jimmy John's,Stable,Expand,1,1,0,0,0,1,1
3lsE-1hRI526KHKbeytPcg,Tower Style Pizza,Stable,Monitor / Intervene,0,5,2,0,1,0,4
kfRkKRVlaPAYOraik4JVXQ,Marco's Pizza,Declining,Reassess,0,2,2,0,0,0,1
MzFhaFNbE03zF84BPkN7yQ,Sang Kee Noodle House,Declining,Growth Opportunity,1,9,0,1,5,1,0
uJBnnlqKIkfMq1H0RhfhJg,Burger King,Stable,Monitor / Intervene,1,2,3,0,0,0,4
a8_zOZgxg3lNsEyanuwluw,Burger Monger,Growing,Expand,0,7,3,0,1,0,6
309eD1s4UG_TkBNHUKAzYA,Pizzeataly,Declining,Growth Opportunity,1,5,0,0,1,1,2
ObL38c-q8O9Fe-JErYG6Xw,China One,Declining,Reassess,1,4,1,0,1,0,2
vUkiYPpbkMXA99WneLSGkQ,Banana Leaf,Growing,Expand,0,9,0,0,0,2,2
NDdd698xwCrCNAdaFhe-Dg,Makkah Market,Declining,Growth Opportunity,1,4,0,0,0,0,1
Cjwb7VQGP0u2eWYj1wnO3g,Vango Lounge & Skybar,Growing,Monitor / Intervene,4,0,2,0,5,0,5
gnpyyeWQ53WlDMJEq-YA_w,Tinto,Declining,Growth Opportunity,1,9,0,0,4,1,2
OX1eFYQwN1iYdFd0fkNpqw,iMunch Cafe,Declining,Growth Opportunity,2,8,0,0,1,1,4
Wtr51cNrv1pYyIRg_IawYQ,The Victor Cafe,Declining,Growth Opportunity,4,7,0,0,0,0,8
QhgrhVKlXZtSY6gRThf8zA,Bing Bing Dim Sum,Growing,Expand,1,9,0,0,4,1,2
qwPpnCgmvrm1WsrmyyhuvQ,Soul Kitchen 5935,Declining,Reassess,0,5,1,0,1,0,3
aubXu1j7HfP50Ohc7JQ3RQ,Mulligans Irish Pub,Stable,Monitor / Intervene,0,1,1,0,0,1,1
ApZoKDMHiY6sm3urIcqfxg,The Broken Yolk Cafe,Growing,Expand,0,7,3,0,1,1,7
nMDteyIwo3zLbqm45xBwFw,Prince Tea House,Growing,Expand,3,6,1,0,0,1,8
hxPnlWZmirx7neooZykmtg,Sutton's,Stable,Expand,4,8,0,0,0,0,5
us7g3OCOFDXjZpmYqQ-f3A,Cadence,Stable,Expand,0,7,0,0,1,0,3
o5Uee_gmS-y9R582PAkX6w,First Watch,Declining,Growth Opportunity,1,7,3,0,0,0,6
jIaycjmFK6ZecPx-tMR43A,Dahlak,Declining,Reassess,1,4,0,0,3,0,3
z04btlhvr9rmQ00k1yVMog,China Taste,Growing,Expand,0,3,0,0,1,1,2
OTwwIvLkrS0zc8f1lNRstw,Dasiwa,Stable,Expand,1,3,0,0,0,1,3
_61CLj2WP5jA6X3SDDlrrg,Tang's Halal Chinese Restaurant,Stable,Expand,0,3,1,0,0,0,1
xa49Z4ar0PXDgjZyHrqbHQ,Luna Café & Provisions,Declining,Growth Opportunity,1,8,0,0,3,1,6
64zjcLKeEQ5_oGQDnpsj5A,Nannie Franco’s Pizzeria,Declining,Growth Opportunity,1,8,1,0,1,0,2
DZglT5FP5VNDQJU3PuRIHw,La Calaca Feliz,Declining,Growth Opportunity,1,9,3,0,1,1,5
IzyQVIJG8JAnOiRQPb0-wg,Rione,Declining,Growth Opportunity,0,7,0,0,0,1,1
eFB8nsciED7EupYVyAnTyA,Deke's Bar-B-Que,Declining,Growth Opportunity,1,8,1,0,3,0,1
AlH5V97JSAu7AL_xdibMIg,Bahama Breeze,Declining,Growth Opportunity,3,5,1,0,0,2,7
SjCxvaC-OZLnOqAqHTXG_Q,My Thai Restaurant,Growing,Monitor / Intervene,0,2,0,0,0,0,0
YzluF3FNGjnW-tOrLZt8JA,Zama,Growing,Expand,1,8,0,0,1,1,7
WeDn7iD1ckcEg7YttkduWg,Don Julio's Authentic Mexican Cuisine,Declining,Growth Opportunity,2,8,0,1,1,1,3
AauDx7QSes9nZOAAa4LIbQ,Sushi House,Declining,Growth Opportunity,2,10,0,1,0,1,6
ZForVw2ZTiwDGfZ0XvZsXQ,Uncle Bobbie's Coffee & Books,Stable,Expand,4,7,0,0,1,1,4
lS42krxXMm-HIk7dntRsKQ,Pattaya,Declining,Growth Opportunity,0,8,0,0,2,3,1
pORvWLJb_ioqIrNo-yacfw,Pancho's Cafe,Declining,Growth Opportunity,1,6,0,0,1,0,1
YtMgMdZfjlK6ogDIGiOJSw,First Wok,Growing,Expand,0,2,1,0,0,0,1
1qw5dIsQPNGLOwnuP7Wj1g,South Bowl,Growing,Expand,2,0,0,0,1,0,3
VG_6ZamOZ3-s6ODu9BCmqQ,McDonald's,Stable,Monitor / Intervene,0,1,0,0,0,1,2
dwkI0-b5PM2-yn-v7j2Agg,T cafe,Stable,Expand,1,5,0,0,2,1,1
RU0UTD_beaENcS5e9EXH-w,IHOP,Declining,Reassess,0,0,3,0,0,2,2
WgyhlYg3fnSgco4qLa20cg,Almaz Cafe,Stable,Expand,1,10,0,0,1,0,6
EI0iUUbEi3xIy74L7-GrUQ,Twisted Turtle Bar And Grill,Declining,Reassess,2,3,0,1,0,0,4
EAF4MLS6x7mzq8CDpOcXXA,Wendy's,Stable,Monitor / Intervene,0,1,1,0,0,0,1
b2egw7DXjck9sKYcBc4NCQ,Top China,Stable,Expand,0,2,0,0,1,2,2
EpFFiPHKx9yP-WqOCuxRCw,Mayfair Diner,Stable,Expand,0,6,0,0,0,2,5
CSAJxLa_LeuIDe-lHrC03w,McDonald's,Stable,Monitor / Intervene,0,1,2,0,0,0,1
TzqkyPTnK7dtHxnvgyn_4Q,Pipo's Restaurant,Declining,Growth Opportunity,1,10,1,0,2,0,4
mtpbu6J2Jg7RkmTSEEXtFQ,Miller's Ale House,Declining,Growth Opportunity,2,5,1,0,0,3,6
OiQ1eoqXMPyEUptpUX9JQA,Thomasena's  Restaurant,Stable,Expand,0,7,0,0,1,0,0
gWV1k7XO9DSAodAlanESFA,San Miguelito Mexican Cuisine,Stable,Expand,0,4,0,0,0,1,2
332MG0dFd8d2JUcszdRdYw,Delightful Garden,Declining,Reassess,0,5,1,0,7,0,2
H_EmJ9Id0pnFw2poOH2OOw,Crazy Burrito,Declining,Growth Opportunity,0,8,0,1,2,3,3
Odx1CHHhQICCehpWMg1w4g,The Ranchito,Stable,Expand,0,2,0,0,1,0,1
44Xh-IjWDSn7XTw1hzO50g,Dutch Eating Place,Growing,Expand,0,8,0,0,2,3,4
8iiI_v2E9V4xXByGce05QQ,Pelicana Chicken,Stable,Expand,2,7,0,0,1,0,1
6GePX4W6Cl8LD68zUq_MAA,Rachael's Nosheri,Growing,Expand,2,6,0,0,4,2,2
wTCA2ZJsssbOCjG0h0ZiGg,Redcrest Fried Chicken,Declining,Growth Opportunity,0,7,1,2,2,0,0
baF2ZFEtsIo2A1k61x3QSw,Tio Flores,Declining,Reassess,3,9,0,0,5,0,2
D8NEBGvh1DVHbyEs2cWVAQ,McDonald's,Growing,Monitor / Intervene,0,1,2,2,0,1,7
0uWnByfZNCs0MU1Ag10ujw,Popeyes Louisiana Kitchen,Stable,Monitor / Intervene,1,0,1,0,0,0,1
5bOUBsE1MH8jubPVI4fVmA,La La’s Sangria Bar,Declining,Growth Opportunity,3,4,0,0,0,0,5
XBYalnLmnJH5OPNacRJIAA,Ladies of the Sea & Soulfood,Growing,Expand,0,7,1,0,2,0,3
jsL0EmA3k75npcRvleq2VA,Food From The Heart,Stable,Expand,1,8,0,0,1,0,1
VCTI7doVpU094lugVBP_DA,Boston Market,Growing,Monitor / Intervene,0,1,1,0,1,0,0
6aClQOutEBgNxwVM2t_S9A,Fresh N Fun,Stable,Monitor / Intervene,1,5,0,0,1,0,2
OH7EpZrKPnZwZDNKQ5S8iA,Thai Kuu,Stable,Expand,0,3,2,0,1,0,2
zAxWNkDWBvgNfIwTAyCBMw,Zio's Brick Oven Pizzeria,Growing,Expand,0,5,1,0,0,1,1
4NXtEZ7buJYC7KLzuhZg3Q,Aguila Sandwich Shop,Stable,Expand,1,9,2,0,2,1,1
REJ5UMeKH0Ylkf7Ym1rXMA,Hawkeye's New York Style Pizza,Growing,Expand,0,1,1,0,1,0,2
ZLhu-sAejh5yGd8aV9zcGQ,Catrinas Tacos and Tequila,Declining,Growth Opportunity,1,9,0,0,1,0,4
RpNWMXXPnNkt8kmvJcP5ig,Maloney's Local Irish Pub,Stable,Expand,3,4,4,0,0,0,7
o45O8DI0MJXYsHnoIkP0jg,D'jakarta Cafe,Growing,Expand,1,9,0,0,0,0,4
CaS4OzIfDfbYyGai0Wn3Zw,Intelligent Gourmet,Declining,Growth Opportunity,0,9,0,0,0,0,8
8hKi4SyepMGe2W1L4aQ_JQ,Italian Kitchen,Growing,Monitor / Intervene,0,1,0,0,0,1,1
JTjrrxgd3p80lS2h_YxsiQ,Taqueria Gonzalez,Declining,Growth Opportunity,0,7,0,0,3,1,2
SNxUXrSr-XkEkSQIdjmjhA,Hank's Catfish & BBQ,Growing,Monitor / Intervene,1,7,1,2,2,0,3
Itft7SwYFUXP02MpcijMOQ,Publix Super Markets Deli,Stable,Expand,0,1,0,0,0,1,1
cGWhF0eEogy0DKPwCU9TtA,Si-Am Thai,Declining,Growth Opportunity,1,10,0,0,3,0,4
pdh91rffpM9QptHSXjJFVQ,Viet Kitchen,Declining,Growth Opportunity,1,6,2,0,0,2,5
03dIEDBsDERr6Osmey-udQ,Steelbach at Armature Works,Growing,Expand,3,7,2,0,1,0,6
edU5K_QDvydTbWr4xfCfmg,Dezzy's Jamaican Restaurant,Stable,Expand,0,2,0,0,0,0,2
-AWclhh1_2VnqPylPgBU3g,Outback Steakhouse,Growing,Monitor / Intervene,2,9,0,0,1,2,5
jS3affmkXWrBnidXA-DIfQ,Butcher Bar,Declining,Growth Opportunity,1,9,0,0,2,0,5
S3-EuL3U_nQmiugDnYPiFw,Fahrenheit 451 Bar & Pizzeria,Growing,Expand,2,6,2,0,2,0,6
DHENrreqQDQx9NtuorNOZw,Gio's Cuban Cafe,Declining,Reassess,0,3,1,0,0,0,0
YBak8o0xCiNN4sXr3izLbg,Barcade,Growing,Expand,3,2,0,1,3,0,2
mciSzNKFRZ3HGgeSDuwUcw,NINE,Declining,Growth Opportunity,1,6,2,0,0,0,3
UVCiRVQID_amNd_q1K5POA,Cavanaughs Headhouse,Growing,Expand,3,3,0,0,0,2,5
m_5jK3w7t4CS2ReIZI_grQ,Fat Tuesday,Declining,Reassess,0,3,0,2,1,2,4
9D0aKRGsutg8S0ClIanmrA,Rival Bros Coffee,Growing,Expand,5,6,0,0,0,2,2
f-9Su3hYbI-OCCt8Hz1wrw,Hemingway’s Cuban Kitchen,Stable,Expand,0,8,0,0,2,3,5
DhZVpgeBKxoLd91MiwTxpg,La Fontana Della Citta,Declining,Growth Opportunity,3,6,0,0,3,3,5
3S_g61xUct3Rmmx4rJS_mA,Smashburger,Stable,Monitor / Intervene,0,1,0,0,1,0,0
tUcZMaE2XPp6qJK5dbZlpg,El Molino Tortilleria and Restaurant,Stable,Expand,0,10,0,0,0,0,3
KW2Ma_0uVm7KmBJhMI_yFA,Dunkin',Declining,Reassess,1,1,4,0,0,0,4
SHYPQbYqbfK4CwTDjtBH7Q,The Famous 4th Street Cookie Company,Growing,Expand,0,7,0,0,2,0,1
HHBbetQ-XRQYJprT5Qp9jw,Gaul & Co. Malthouse,Stable,Expand,2,7,0,1,2,1,4
eYNcVdV5bqqg-q23_FU0Vw,Pokeworks,Declining,Growth Opportunity,1,6,0,0,2,0,4
VSpseb6oijtKffRRL_xfgQ,The Stone Soup Company,Declining,Growth Opportunity,1,8,0,1,1,1,3
kufU0ChkDC9hZABZoUebIQ,China House,Stable,Monitor / Intervene,0,0,0,0,1,0,2
nOZOlidRcVHYn3bDcsXD_Q,Musi,Declining,Growth Opportunity,1,6,0,1,2,0,1
TdrNka-oPWf4B-jN9rKltw,Bok Bar,Stable,Expand,8,7,1,0,1,0,1
YQD_Gm999Cthin64uLdOdA,McDonald's,Stable,Monitor / Intervene,0,0,1,0,0,2,0
RalJthqqo93-7rTXGgc5Gg,Jubao Palace Noodle Bar - Seminole Hard Rock Tampa,Growing,Expand,0,8,1,0,1,3,4
XupqzjOerK3DcIoWWIKslg,Chicken Yummy,Stable,Expand,0,6,0,0,0,0,2
0Nqa0zPHoB_GVucVMd9f6w,Club Risqué,Declining,Growth Opportunity,1,1,1,0,1,0,4
c6zgxvHn5j816s9DDAFYjA,220 East,Growing,Expand,1,5,0,0,1,1,4
lSR0JkU7iCnR7sP-8Gjkqw,The Garden,Stable,Expand,5,3,0,0,1,1,1
kC2jUMTWt0v_cSWKa63QQA,Fink's,Declining,Growth Opportunity,1,4,0,0,4,0,2
gYYMQeg4X8FUcCxXI4c2Tw,Steve's Prince of Steaks,Declining,Reassess,0,8,1,0,4,2,4
LAtPOWQ6fUvaU64Yp9hyIg,Mama's Soul Food Restaurant,Declining,Reassess,1,7,2,1,1,1,2
-SCIBOTjKGJXmeMMPi-uoQ,Papi's Cafe,Stable,Expand,0,5,0,0,3,0,1
_Re2IwkeFUqUsPMRZK8jng,Freebyrd Chicken,Stable,Expand,0,8,0,0,0,1,1
4vy8j-L9zXXFH_wh2sVzAw,Bower Cafe,Growing,Expand,1,8,0,0,1,0,8
ptXuSpg-ScJpAyE2QoLU4Q,West Tavern,Stable,Expand,1,4,0,1,0,0,4
A37C-01zpQty9FmxvZrxEg,El Taco,Declining,Growth Opportunity,0,10,0,0,4,0,1
eImAdebEDD47dMd6zIx4MQ,Al's Finger Licking Good Soul Food,Declining,Growth Opportunity,0,2,0,0,0,0,1
kaQ-ReAmU-xO2XnQsMFwRg,Doc B's Restaurant + Bar,Growing,Expand,2,9,0,0,1,1,4
s9ceDy-cVHe0uzvZpWq87Q,E Mei Restaurant,Growing,Expand,1,8,0,0,2,0,2
GTNh2Jx56qE5kJSOVZxZlg,Cigar City Brewing,Stable,Monitor / Intervene,0,3,2,0,1,6,5
lWedWkinrM5j13pyimbpbA,Miles Table,Stable,Expand,1,10,0,0,0,0,3
25sLng-w7vBXbZfyBNeOWg,Museum Deli,Stable,Expand,0,2,0,0,0,0,2
QXGnmsKYANxOyZBqM-zlJA,The Plough & the Stars,Growing,Expand,3,6,1,0,0,1,7
a1esN1yBrh8c8jra-7WcXw,Caribbean Twist,Stable,Expand,0,10,0,0,2,0,8
Y7bpk83gKWgCmi7yKGTTug,Wendy's,Declining,Reassess,0,0,3,0,0,2,1
fzYu9Rh-oqlg95QzkbIO0A,Taps Restaurant Bar & Lounge,Growing,Expand,5,6,0,0,1,2,3
HNXpuOxyh9XPm9sM98Ao3A,Cappy's Pizzeria,Growing,Expand,0,10,2,0,0,1,4
Z0Bn-FdyZmXHBh8qQe9JLw,Tnt burger,Growing,Expand,1,9,2,0,1,0,2
69ccjOpx2iFvr1y2qas9uA,Caffeine Roasters,Stable,Expand,2,9,1,0,1,2,4
YpUowEOcZNehoBv0lxqlpA,Popeyes Louisiana Kitchen,Declining,Reassess,0,2,2,0,0,1,1
1XQWvgGDqzDoEOg0_7eWKA,Six,Declining,Growth Opportunity,3,7,0,0,3,2,3
UXOji-MYsS0SL_0ccTjbKQ,PrimoHoagies,Stable,Monitor / Intervene,0,2,5,0,0,2,4
sq3BcLyY4_jZf-zkO2itDA,Taco Bus,Growing,Monitor / Intervene,2,7,2,0,0,0,5
